state_name,month_name,death,hospitalized,positive
Georgia,Aug,145359.0,681642.0,7260641.0
Georgia,Sep,192621.0,802326.0,8925277.0
Georgia,Oct,233793.0,935323.0,10489304.0
Georgia,Nov,267802.0,999652.0,12809483.0
Georgia,Dec,316961.0,1191847.0,17500247.0
Guam,Mar,11.0,0.0,516.0
Guam,Apr,138.0,0.0,3799.0
Guam,May,155.0,0.0,4896.0
Guam,Jun,150.0,0.0,6103.0
Guam,Jul,155.0,0.0,9833.0
Guam,Aug,195.0,0.0,21207.0
Guam,Sep,868.0,0.0,59504.0
Guam,Oct,1986.0,0.0,110367.0
Guam,Nov,2908.0,0.0,178845.0
Guam,Dec,3643.0,0.0,221310.0
Hawaii,Mar,0.0,66.0,1248.0
Hawaii,Apr,260.0,1360.0,14712.0
Hawaii,May,524.0,2473.0,19707.0
Hawaii,Jun,513.0,2791.0,22414.0
Hawaii,Jul,684.0,4294.0,40778.0
Hawaii,Aug,1252.0,9568.0,152497.0
Hawaii,Sep,3108.0,20123.0,324411.0
Hawaii,Oct,5629.0,30243.0,432319.0
Hawaii,Nov,6789.0,35940.0,503396.0
Hawaii,Dec,8467.0,46868.0,620757.0
Idaho,Mar,25.0,145.0,2007.0
Idaho,Apr,1043.0,3852.0,44437.0
Idaho,May,2245.0,6635.0,74146.0
Idaho,Jun,2604.0,8263.0,113197.0
Idaho,Jul,3650.0,16963.0,394380.0
Idaho,Aug,8370.0,34407.0,832394.0
Idaho,Sep,12591.0,48682.0,1085189.0
Idaho,Oct,16391.0,67291.0,1601560.0
Idaho,Nov,23106.0,96754.0,2459658.0
Idaho,Dec,37101.0,151215.0,3807358.0
Illinois,Mar,417.0,0.0,32962.0
Illinois,Apr,32410.0,0.0,802317.0
Illinois,May,124531.0,0.0,2817378.0
Illinois,Jun,194271.0,0.0,4013814.0
Illinois,Jul,230515.0,0.0,4971587.0
Illinois,Aug,246986.0,0.0,6454943.0
Illinois,Sep,257714.0,0.0,8037885.0
Illinois,Oct,292628.0,0.0,10691102.0
Illinois,Nov,340510.0,0.0,17311642.0
Illinois,Dec,487076.0,0.0,26767345.0
Indiana,Feb,0.0,0.0,0.0
Indiana,Mar,240.0,0.0,10053.0
Indiana,Apr,14327.0,0.0,289598.0
Indiana,May,52715.0,114296.0,838265.0
Indiana,Jun,73069.0,194895.0,1210849.0
Indiana,Jul,86854.0,241508.0,1702668.0
Indiana,Aug,97177.0,306707.0,2488354.0
Indiana,Sep,103916.0,357265.0,3224126.0
Indiana,Oct,121734.0,452787.0,4512410.0
Indiana,Nov,150003.0,632593.0,7676680.0
Indiana,Dec,218744.0,967962.0,13534082.0
Iowa,Mar,25.0,456.0,2747.0
Iowa,Apr,1956.0,1240.0,83619.0
Iowa,May,10714.0,0.0,440007.0
Iowa,Jun,19530.0,0.0,728145.0
Iowa,Jul,24119.0,0.0,1146210.0
Iowa,Aug,30546.0,0.0,1635711.0
Iowa,Sep,37061.0,0.0,2236822.0
Iowa,Oct,47275.0,0.0,3115260.0
Iowa,Nov,60928.0,0.0,4951717.0
Iowa,Dec,101900.0,0.0,6948789.0
Kansas,Mar,53.0,254.0,2319.0
Kansas,Apr,2198.0,10167.0,54501.0
Kansas,May,5252.0,21830.0,236731.0
Kansas,Jun,7373.0,30001.0,350353.0
Kansas,Jul,9356.0,44066.0,654584.0
Kansas,Aug,12482.0,62846.0,1070047.0
Kansas,Sep,16616.0,78106.0,1523504.0
Kansas,Oct,26311.0,104007.0,2195764.0
Kansas,Nov,38832.0,133133.0,3615531.0
Kansas,Dec,67842.0,185387.0,5955078.0
Kentucky,Mar,70.0,0.0,2819.0
Kentucky,Apr,3644.0,20317.0,70517.0
Kentucky,May,10410.0,57872.0,225893.0
Kentucky,Jun,15175.0,73706.0,384127.0
Kentucky,Jul,20155.0,90292.0,678576.0
Kentucky,Aug,25618.0,130101.0,1218223.0
Kentucky,Sep,32160.0,148177.0,1760915.0
Kentucky,Oct,40779.0,196896.0,2676418.0
Kentucky,Nov,50538.0,262781.0,4224498.0
Kentucky,Dec,71020.0,367122.0,7088291.0
Louisiana,Mar,1129.0,0.0,28451.0
Louisiana,Apr,32867.0,0.0,625160.0
Louisiana,May,75730.0,0.0,1058343.0
Louisiana,Jun,91075.0,0.0,1432634.0
Louisiana,Jul,109304.0,0.0,2693146.0
Louisiana,Aug,139101.0,0.0,4225383.0
Louisiana,Sep,157941.0,0.0,4777934.0
Louisiana,Oct,177422.0,0.0,5504935.0
Louisiana,Nov,184804.0,0.0,6223001.0
Louisiana,Dec,215113.0,0.0,8533266.0
Maine,Mar,13.0,106.0,2120.0
Maine,Apr,843.0,3724.0,22358.0
Maine,May,2180.0,6855.0,52158.0
Maine,Jun,3010.0,9550.0,84057.0
Maine,Jul,3546.0,11520.0,112034.0
Maine,Aug,3951.0,12437.0,129920.0
Maine,Sep,4108.0,13033.0,148402.0
Maine,Oct,4474.0,14476.0,183375.0
Maine,Nov,5020.0,17669.0,274062.0
Maine,Dec,8509.0,28124.0,542935.0
Maryland,Mar,168.0,1590.0,8702.0
Maryland,Apr,15954.0,71908.0,326302.0
Maryland,May,61681.0,211268.0,1183128.0
Maryland,Jun,88191.0,302591.0,1848484.0
Maryland,Jul,103834.0,361964.0,2374558.0
Maryland,Aug,112721.0,420145.0,3086997.0
Maryland,Sep,115669.0,448275.0,3518380.0
Maryland,Oct,125065.0,505520.0,4172581.0
Maryland,Nov,130307.0,563776.0,5073482.0
Maryland,Dec,163321.0,740690.0,7449058.0
Massachusetts,Jan,0.0,0.0,0.0
Massachusetts,Feb,0.0,0.0,0.0
Massachusetts,Mar,651.0,2610.0,34322.0
Massachusetts,Apr,50046.0,100478.0,971187.0
Massachusetts,May,170827.0,256776.0,2582585.0
Massachusetts,Jun,228988.0,324052.0,3164865.0
Massachusetts,Jul,259483.0,361385.0,3498717.0
Massachusetts,Aug,273835.0,376931.0,3822664.0
Massachusetts,Sep,277353.0,374517.0,3785693.0
Massachusetts,Oct,300917.0,402158.0,4449113.0
Massachusetts,Nov,310382.0,409015.0,5713002.0
Massachusetts,Dec,357261.0,467855.0,9388617.0
Michigan,Mar,2342.0,0.0,169662.0
Michigan,Apr,79759.0,0.0,1036680.0
Michigan,May,164087.0,0.0,1766294.0
Michigan,Jun,180742.0,0.0,2001687.0
Michigan,Jul,196267.0,0.0,2478571.0
Michigan,Aug,204360.0,0.0,3160707.0
Michigan,Sep,207847.0,0.0,3762256.0
Michigan,Oct,227677.0,0.0,4999661.0
Michigan,Nov,255029.0,0.0,8622733.0
Michigan,Dec,357468.0,0.0,14725689.0
Minnesota,Mar,47.0,513.0,8020.0
Minnesota,Apr,3818.0,14936.0,92868.0
Minnesota,May,21869.0,63798.0,553098.0
Minnesota,Jun,39472.0,108846.0,942207.0
Minnesota,Jul,48459.0,141456.0,1387465.0
Minnesota,Aug,54441.0,181470.0,2018867.0
Minnesota,Sep,59400.0,211203.0,2607218.0
Minnesota,Oct,69537.0,273146.0,3739159.0
Minnesota,Nov,88983.0,401254.0,6849584.0
Minnesota,Dec,140839.0,613933.0,11792353.0
Mississippi,Mar,84.0,1464.0,5780.0
Mississippi,Apr,3972.0,21031.0,109721.0
Mississippi,May,15804.0,54008.0,344072.0
Mississippi,Jun,27298.0,81472.0,612493.0
Mississippi,Jul,40920.0,113481.0,1278178.0
Mississippi,Aug,64526.0,151660.0,2235453.0
Mississippi,Sep,82113.0,165016.0,2733676.0
Mississippi,Oct,97835.0,194046.0,3373458.0
Mississippi,Nov,107108.0,210251.0,4059206.0
Mississippi,Dec,132830.0,242997.0,5744183.0
Missouri,Mar,85.0,0.0,6204.0
Missouri,Apr,4568.0,0.0,144456.0
Missouri,May,17463.0,0.0,330212.0
Missouri,Jun,26893.0,0.0,502252.0
Missouri,Jul,34527.0,0.0,1005353.0
Missouri,Aug,42459.0,0.0,2084758.0
Missouri,Sep,53546.0,0.0,3189083.0
Missouri,Oct,78212.0,0.0,4743414.0
Missouri,Nov,102616.0,0.0,7255549.0
Missouri,Dec,147460.0,0.0,10894424.0
Montana,Mar,10.0,47.0,1068.0
Montana,Apr,277.0,1385.0,11447.0
Montana,May,502.0,1974.0,14580.0
Montana,Jun,581.0,2422.0,19791.0
Montana,Jul,1108.0,4796.0,70547.0
Montana,Aug,2562.0,10181.0,176785.0
Montana,Sep,4272.0,16837.0,292908.0
Montana,Oct,7665.0,31057.0,682769.0
Montana,Nov,15855.0,58723.0,1436108.0
Montana,Dec,25880.0,97626.0,2292221.0
Nebraska,Feb,0.0,0.0,0.0
Nebraska,Mar,9.0,0.0,1117.0
Nebraska,Apr,802.0,0.0,39994.0
Nebraska,May,3659.0,0.0,295885.0
Nebraska,Jun,6646.0,31098.0,502929.0
Nebraska,Jul,9219.0,45380.0,684023.0
Nebraska,Aug,11191.0,56626.0,931289.0
Nebraska,Sep,13046.0,64710.0,1175547.0
Nebraska,Oct,17005.0,81635.0,1737769.0
Nebraska,Nov,24142.0,108802.0,2948271.0
Nebraska,Dec,43013.0,149814.0,4641518.0
Nevada,Mar,217.0,0.0,6058.0
Nevada,Apr,4625.0,0.0,97218.0
Nevada,May,11341.0,0.0,210896.0
Nevada,Jun,14421.0,0.0,365877.0
Nevada,Jul,19814.0,0.0,1011764.0
Nevada,Aug,33356.0,0.0,1875155.0
Nevada,Sep,44367.0,0.0,2234546.0
Nevada,Oct,52550.0,0.0,2771870.0
Nevada,Nov,58233.0,0.0,3704393.0
Nevada,Dec,81669.0,0.0,5963183.0
New Hampshire,Mar,17.0,264.0,2224.0
New Hampshire,Apr,1009.0,5092.0,36789.0
New Hampshire,May,5085.0,11116.0,109005.0
New Hampshire,Jun,9573.0,15640.0,159771.0
New Hampshire,Jul,12242.0,19742.0,190973.0
New Hampshire,Aug,13144.0,21901.0,215935.0
New Hampshire,Sep,13080.0,21737.0,233082.0
New Hampshire,Oct,14314.0,23502.0,296950.0
New Hampshire,Nov,15030.0,24356.0,458040.0
New Hampshire,Dec,19497.0,27016.0,1021905.0
New Jersey,Feb,0.0,0.0,0.0
New Jersey,Mar,1566.0,0.0,92546.0
New Jersey,Apr,128340.0,0.0,2186635.0
New Jersey,May,359507.0,101026.0,4475449.0
New Jersey,Jun,430048.0,563188.0,5029151.0
New Jersey,Jul,477793.0,645497.0,5518331.0
New Jersey,Aug,491266.0,686988.0,5891263.0
New Jersey,Sep,481169.0,690936.0,6068421.0
New Jersey,Oct,502728.0,863053.0,7034887.0
New Jersey,Nov,498699.0,1178911.0,9111052.0
New Jersey,Dec,557416.0,1376139.0,14044700.0
New Mexico,Mar,17.0,0.0,1670.0
New Mexico,Apr,1474.0,6174.0,48327.0
New Mexico,May,7739.0,29798.0,177975.0
New Mexico,Jun,13154.0,49802.0,298313.0
New Mexico,Jul,17513.0,71517.0,504135.0
New Mexico,Aug,22130.0,91278.0,721859.0
New Mexico,Sep,24979.0,99049.0,815678.0
New Mexico,Oct,28959.0,122222.0,1131556.0
New Mexico,Nov,37824.0,170689.0,2072560.0
New Mexico,Dec,63204.0,257003.0,3813048.0
New York,Mar,6208.0,0.0,457174.0
New York,Apr,330353.0,0.0,6228443.0
